id,transactionDate,description,reference,amount,postingPlat,accountDr,accountCr,entriesCount,inactive,deleted,createdBy,createdAt,updatedBy,updatedAt
1,2022-05-01,"Savings by Leota Dilliard",Savings,189991.00,TWOENTRY,7,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
2,2022-05-02,"Savings by Simona Morasca",Savings,678628.00,TWOENTRY,7,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
3,2022-05-03,"Savings by Kris Marrier",Savings,273046.00,TWOENTRY,7,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
4,2022-05-11,"Savings by Art Venere",Savings,569327.00,TWOENTRY,8,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
5,2022-05-13,"Savings by Sage Wieser",Savings,200896.00,TWOENTRY,8,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
6,2022-05-13,"Entrance fees paid by Sage Wieser","Entrance fees",1000.00,TWOENTRY,8,25,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
7,2022-05-14,"Savings by Art Venere",Savings,655425.00,TWOENTRY,8,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
8,2022-05-15,"Savings by Lenna Paprocki",Savings,569626.00,TWOENTRY,7,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
9,2022-05-18,"Savings by Art Venere",Savings,129062.00,TWOENTRY,8,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
10,2022-05-20,"Savings by Lenna Paprocki",Savings,425901.00,TWOENTRY,8,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
11,2022-05-22,"Savings by Simona Morasca",Savings,634760.00,TWOENTRY,8,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
12,2022-05-23,"Savings by Mitsue Tollner",Savings,559354.00,TWOENTRY,8,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
13,2022-05-24,"Savings by Donette Foller",Savings,372701.00,TWOENTRY,7,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
14,2022-05-26,"Savings by Josephine Darakjy",Savings,420021.00,TWOENTRY,7,19,2,0,0,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z,DEMO@sunday.adegboye,2024-09-16T20:11:14.114Z
